S50.00XA@Contusion of unspecified elbow, initial encounter
S58.121A@Part traum amp at lev betw elbow and wrist, right arm, init
S58.121D@Part traum amp at lev betw elbow and wrist, right arm, subs
S58.121S@Part traum amp at lev betw elbow and wrist, right arm, sqla
S58.122A@Part traum amp at level betw elbow and wrist, left arm, init
S58.122D@Part traum amp at level betw elbow and wrist, left arm, subs
S58.122S@Part traum amp at level betw elbow and wrist, left arm, sqla
S58.129A@Part traum amp at level betw elbow and wrist, unsp arm, init
S58.129D@Part traum amp at level betw elbow and wrist, unsp arm, subs
S58.129S@Part traum amp at level betw elbow and wrist, unsp arm, sqla
S58.911A@Complete traumatic amputation of r forearm, level unsp, init
S58.911D@Complete traumatic amputation of r forearm, level unsp, subs
S58.911S@Complete traumatic amp of r forearm, level unsp, sequela
S58.912A@Complete traumatic amputation of l forearm, level unsp, init
S58.912D@Complete traumatic amputation of l forearm, level unsp, subs
S58.912S@Complete traumatic amp of l forearm, level unsp, sequela
S58.919A@Complete traumatic amp of unsp forearm, level unsp, init
S58.919D@Complete traumatic amp of unsp forearm, level unsp, subs
S58.919S@Complete traumatic amp of unsp forearm, level unsp, sequela
S58.921A@Partial traumatic amputation of r forearm, level unsp, init
S58.921D@Partial traumatic amputation of r forearm, level unsp, subs
S58.921S@Partial traumatic amp of r forearm, level unsp, sequela
S58.922A@Partial traumatic amputation of l forearm, level unsp, init
S58.922D@Partial traumatic amputation of l forearm, level unsp, subs
S58.922S@Partial traumatic amp of l forearm, level unsp, sequela
S58.929A@Partial traumatic amp of unsp forearm, level unsp, init
S58.929D@Partial traumatic amp of unsp forearm, level unsp, subs
S58.929S@Partial traumatic amp of unsp forearm, level unsp, sequela
S59.001A@Unsp physeal fracture of lower end of ulna, right arm, init
S59.001D@Unsp physl fx low end ulna, r arm, subs for fx w routn heal
S59.001G@Unsp physl fx low end ulna, r arm, subs for fx w delay heal
S59.001K@Unsp physl fx low end ulna, r arm, subs for fx w nonunion
S59.001P@Unsp physl fx low end ulna, r arm, subs for fx w malunion
S59.001S@Unsp physeal fx lower end of ulna, right arm, sequela
S59.002A@Unsp physeal fracture of lower end of ulna, left arm, init
S59.002D@Unsp physl fx low end ulna, l arm, subs for fx w routn heal
S59.002G@Unsp physl fx low end ulna, l arm, subs for fx w delay heal
S59.002K@Unsp physl fx low end ulna, left arm, subs for fx w nonunion
S59.002P@Unsp physl fx low end ulna, left arm, subs for fx w malunion
S59.002S@Unsp physeal fx lower end of ulna, left arm, sequela
S59.009A@Unsp physeal fracture of lower end of ulna, unsp arm, init
S59.009D@Unsp physl fx low end ulna, unsp arm, 7thD
S59.009G@Unsp physl fx low end ulna, unsp arm, 7thG
S59.009K@Unsp physl fx low end ulna, unsp arm, subs for fx w nonunion
S59.009P@Unsp physl fx low end ulna, unsp arm, subs for fx w malunion
S59.009S@Unsp physeal fx lower end of ulna, unsp arm, sequela
S59.011A@Sltr-haris Type I physl fx lower end ulna, right arm, init
S59.011D@Sltr-haris Type I physl fx low end ulna, r arm, 7thD
S59.011G@Sltr-haris Type I physl fx low end ulna, r arm, 7thG
S59.011K@Sltr-haris Type I physl fx low end ulna, r arm, 7thK
S59.011P@Sltr-haris Type I physl fx low end ulna, r arm, 7thP
S59.011S@Sltr-haris Type I physl fx lower end ulna, right arm, sqla
S59.012A@Sltr-haris Type I physl fx lower end of ulna, left arm, init
S59.012D@Sltr-haris Type I physl fx low end ulna, l arm, 7thD
S59.012G@Sltr-haris Type I physl fx low end ulna, l arm, 7thG
S59.012K@Sltr-haris Type I physl fx low end ulna, l arm, 7thK
S59.012P@Sltr-haris Type I physl fx low end ulna, l arm, 7thP
S59.012S@Sltr-haris Type I physl fx lower end of ulna, left arm, sqla
S59.019A@Sltr-haris Type I physl fx lower end of ulna, unsp arm, init
S59.019D@Sltr-haris Type I physl fx low end ulna, unsp arm, 7thD
S59.019G@Sltr-haris Type I physl fx low end ulna, unsp arm, 7thG
S59.019K@Sltr-haris Type I physl fx low end ulna, unsp arm, 7thK
S59.019P@Sltr-haris Type I physl fx low end ulna, unsp arm, 7thP
S59.019S@Sltr-haris Type I physl fx lower end of ulna, unsp arm, sqla
S59.021A@Sltr-haris Type II physl fx lower end ulna, right arm, init
S59.021D@Sltr-haris Type II physl fx low end ulna, r arm, 7thD
S59.021G@Sltr-haris Type II physl fx low end ulna, r arm, 7thG
S59.021K@Sltr-haris Type II physl fx low end ulna, r arm, 7thK
S59.021P@Sltr-haris Type II physl fx low end ulna, r arm, 7thP
S59.021S@Sltr-haris Type II physl fx lower end ulna, right arm, sqla
S59.022A@Sltr-haris Type II physl fx lower end ulna, left arm, init
S59.022D@Sltr-haris Type II physl fx low end ulna, l arm, 7thD
S59.022G@Sltr-haris Type II physl fx low end ulna, l arm, 7thG
S59.022K@Sltr-haris Type II physl fx low end ulna, l arm, 7thK
S59.022P@Sltr-haris Type II physl fx low end ulna, l arm, 7thP
S59.022S@Sltr-haris Type II physl fx lower end ulna, left arm, sqla
S59.029A@Sltr-haris Type II physl fx lower end ulna, unsp arm, init
S59.029D@Sltr-haris Type II physl fx low end ulna, unsp arm, 7thD
S59.029G@Sltr-haris Type II physl fx low end ulna, unsp arm, 7thG
S59.029K@Sltr-haris Type II physl fx low end ulna, unsp arm, 7thK
S59.029P@Sltr-haris Type II physl fx low end ulna, unsp arm, 7thP
S59.029S@Sltr-haris Type II physl fx lower end ulna, unsp arm, sqla
S59.031A@Sltr-haris Type III physl fx lower end ulna, right arm, init
S59.031D@Sltr-haris Type III physl fx low end ulna, r arm, 7thD
S59.031G@Sltr-haris Type III physl fx low end ulna, r arm, 7thG
S59.031K@Sltr-haris Type III physl fx low end ulna, r arm, 7thK
S59.031P@Sltr-haris Type III physl fx low end ulna, r arm, 7thP
S59.031S@Sltr-haris Type III physl fx lower end ulna, right arm, sqla
S59.032A@Sltr-haris Type III physl fx lower end ulna, left arm, init
S59.032D@Sltr-haris Type III physl fx low end ulna, l arm, 7thD
S59.032G@Sltr-haris Type III physl fx low end ulna, l arm, 7thG
S59.032K@Sltr-haris Type III physl fx low end ulna, l arm, 7thK
S59.032P@Sltr-haris Type III physl fx low end ulna, l arm, 7thP
S59.032S@Sltr-haris Type III physl fx lower end ulna, left arm, sqla
S59.039A@Sltr-haris Type III physl fx lower end ulna, unsp arm, init
S59.039D@Sltr-haris Type III physl fx low end ulna, unsp arm, 7thD
S59.039G@Sltr-haris Type III physl fx low end ulna, unsp arm, 7thG
S59.039K@Sltr-haris Type III physl fx low end ulna, unsp arm, 7thK
S59.039P@Sltr-haris Type III physl fx low end ulna, unsp arm, 7thP
S59.039S@Sltr-haris Type III physl fx lower end ulna, unsp arm, sqla
S59.041A@Sltr-haris Type IV physl fx lower end ulna, right arm, init
S59.041D@Sltr-haris Type IV physl fx low end ulna, r arm, 7thD
S59.041G@Sltr-haris Type IV physl fx low end ulna, r arm, 7thG
S59.041K@Sltr-haris Type IV physl fx low end ulna, r arm, 7thK
S59.041P@Sltr-haris Type IV physl fx low end ulna, r arm, 7thP
S59.041S@Sltr-haris Type IV physl fx lower end ulna, right arm, sqla
S59.042A@Sltr-haris Type IV physl fx lower end ulna, left arm, init
S59.042D@Sltr-haris Type IV physl fx low end ulna, l arm, 7thD
S59.042G@Sltr-haris Type IV physl fx low end ulna, l arm, 7thG
S59.042K@Sltr-haris Type IV physl fx low end ulna, l arm, 7thK
S59.042P@Sltr-haris Type IV physl fx low end ulna, l arm, 7thP
S59.042S@Sltr-haris Type IV physl fx lower end ulna, left arm, sqla
S59.049A@Sltr-haris Type IV physl fx lower end ulna, unsp arm, init
S59.049D@Sltr-haris Type IV physl fx low end ulna, unsp arm, 7thD
S59.049G@Sltr-haris Type IV physl fx low end ulna, unsp arm, 7thG
S59.049K@Sltr-haris Type IV physl fx low end ulna, unsp arm, 7thK
S59.049P@Sltr-haris Type IV physl fx low end ulna, unsp arm, 7thP
S59.049S@Sltr-haris Type IV physl fx lower end ulna, unsp arm, sqla
S59.091A@Oth physeal fracture of lower end of ulna, right arm, init
S59.091D@Oth physl fx low end ulna, r arm, subs for fx w routn heal
S59.091G@Oth physl fx low end ulna, r arm, subs for fx w delay heal
S59.091K@Oth physl fx low end ulna, right arm, subs for fx w nonunion
S59.091P@Oth physl fx low end ulna, right arm, subs for fx w malunion
S59.091S@Oth physeal fx lower end of ulna, right arm, sequela
S59.092A@Oth physeal fracture of lower end of ulna, left arm, init
S59.092D@Oth physl fx low end ulna, l arm, subs for fx w routn heal
S59.092G@Oth physl fx low end ulna, l arm, subs for fx w delay heal
S59.092K@Oth physl fx low end ulna, left arm, subs for fx w nonunion
S59.092P@Oth physl fx low end ulna, left arm, subs for fx w malunion
S59.092S@Oth physeal fracture of lower end of ulna, left arm, sequela
S59.099A@Oth physeal fracture of lower end of ulna, unsp arm, init
S59.099D@Oth physl fx low end ulna, unsp arm, 7thD
S59.099G@Oth physl fx low end ulna, unsp arm, 7thG
S59.099K@Oth physl fx low end ulna, unsp arm, subs for fx w nonunion
S59.099P@Oth physl fx low end ulna, unsp arm, subs for fx w malunion
S59.099S@Oth physeal fracture of lower end of ulna, unsp arm, sequela
S59.101A@Unsp physeal fracture of upper end radius, right arm, init
S59.101D@Unsp physl fx upper end rad, r arm, subs for fx w routn heal
S59.101G@Unsp physl fx upper end rad, r arm, subs for fx w delay heal
S59.101K@Unsp physl fx upper end rad, r arm, subs for fx w nonunion
S59.101P@Unsp physl fx upper end rad, r arm, subs for fx w malunion
S59.101S@Unsp physeal fx upper end radius, right arm, sequela
S59.102A@Unsp physeal fracture of upper end of radius, left arm, init
S59.102D@Unsp physl fx upr end rad, l arm, subs for fx w routn heal
S59.102G@Unsp physl fx upr end rad, l arm, subs for fx w delay heal
S59.102K@Unsp physl fx upr end rad, left arm, subs for fx w nonunion
S59.102P@Unsp physl fx upr end rad, left arm, subs for fx w malunion
S59.102S@Unsp physeal fracture of upper end radius, left arm, sequela
S59.109A@Unsp physeal fracture of upper end of radius, unsp arm, init
S59.109D@Unsp physl fx upr end rad, unsp arm, 7thD
S59.109G@Unsp physl fx upr end rad, unsp arm, 7thG
S59.109K@Unsp physl fx upr end rad, unsp arm, subs for fx w nonunion
S59.109P@Unsp physl fx upr end rad, unsp arm, subs for fx w malunion
S59.109S@Unsp physeal fracture of upper end radius, unsp arm, sequela
S59.111A@Sltr-haris Type I physl fx upper end radius, right arm, init
S59.111D@Sltr-haris Type I physl fx upr end rad, r arm, 7thD
S59.111G@Sltr-haris Type I physl fx upr end rad, r arm, 7thG
S59.111K@Sltr-haris Type I physl fx upr end rad, r arm, 7thK
S59.111P@Sltr-haris Type I physl fx upr end rad, r arm, 7thP
S59.111S@Sltr-haris Type I physl fx upper end radius, right arm, sqla
S59.112A@Sltr-haris Type I physl fx upper end radius, left arm, init
S59.112D@Sltr-haris Type I physl fx upr end rad, l arm, 7thD
S59.112G@Sltr-haris Type I physl fx upr end rad, l arm, 7thG
S59.112K@Sltr-haris Type I physl fx upr end rad, l arm, 7thK
S59.112P@Sltr-haris Type I physl fx upr end rad, l arm, 7thP
S59.112S@Sltr-haris Type I physl fx upper end radius, left arm, sqla
S59.119A@Sltr-haris Type I physl fx upper end radius, unsp arm, init
S59.119D@Sltr-haris Type I physl fx upr end rad, unsp arm, 7thD
S59.119G@Sltr-haris Type I physl fx upr end rad, unsp arm, 7thG
S59.119K@Sltr-haris Type I physl fx upr end rad, unsp arm, 7thK
S59.119P@Sltr-haris Type I physl fx upr end rad, unsp arm, 7thP
S59.119S@Sltr-haris Type I physl fx upper end radius, unsp arm, sqla
S59.121A@Sltr-haris Type II physl fx upper end rad, right arm, init
S59.121D@Sltr-haris Type II physl fx upr end rad, r arm, 7thD
S59.121G@Sltr-haris Type II physl fx upr end rad, r arm, 7thG
S59.121K@Sltr-haris Type II physl fx upr end rad, r arm, 7thK
S59.121P@Sltr-haris Type II physl fx upr end rad, r arm, 7thP
S59.121S@Sltr-haris Type II physl fx upper end rad, right arm, sqla
S59.122A@Sltr-haris Type II physl fx upper end radius, left arm, init
S59.122D@Sltr-haris Type II physl fx upr end rad, l arm, 7thD
S59.122G@Sltr-haris Type II physl fx upr end rad, l arm, 7thG
S59.122K@Sltr-haris Type II physl fx upr end rad, l arm, 7thK
S59.122P@Sltr-haris Type II physl fx upr end rad, l arm, 7thP
S59.122S@Sltr-haris Type II physl fx upper end radius, left arm, sqla
S59.129A@Sltr-haris Type II physl fx upper end radius, unsp arm, init
S59.129D@Sltr-haris Type II physl fx upr end rad, unsp arm, 7thD
S59.129G@Sltr-haris Type II physl fx upr end rad, unsp arm, 7thG
S59.129K@Sltr-haris Type II physl fx upr end rad, unsp arm, 7thK
S59.129P@Sltr-haris Type II physl fx upr end rad, unsp arm, 7thP
S59.129S@Sltr-haris Type II physl fx upper end radius, unsp arm, sqla
S59.131A@Sltr-haris Type III physl fx upper end rad, right arm, init
S59.131D@Sltr-haris Type III physl fx upr end rad, r arm, 7thD
S59.131G@Sltr-haris Type III physl fx upr end rad, r arm, 7thG
S59.131K@Sltr-haris Type III physl fx upr end rad, r arm, 7thK
S59.131P@Sltr-haris Type III physl fx upr end rad, r arm, 7thP
S59.131S@Sltr-haris Type III physl fx upper end rad, right arm, sqla
S59.132A@Sltr-haris Type III physl fx upper end rad, left arm, init
S59.132D@Sltr-haris Type III physl fx upr end rad, l arm, 7thD
S59.132G@Sltr-haris Type III physl fx upr end rad, l arm, 7thG
S59.132K@Sltr-haris Type III physl fx upr end rad, l arm, 7thK
S59.132P@Sltr-haris Type III physl fx upr end rad, l arm, 7thP
S59.132S@Sltr-haris Type III physl fx upper end rad, left arm, sqla
S59.139A@Sltr-haris Type III physl fx upper end rad, unsp arm, init
S59.139D@Sltr-haris Type III physl fx upr end rad, unsp arm, 7thD
S59.139G@Sltr-haris Type III physl fx upr end rad, unsp arm, 7thG
S59.139K@Sltr-haris Type III physl fx upr end rad, unsp arm, 7thK
S59.139P@Sltr-haris Type III physl fx upr end rad, unsp arm, 7thP
S59.139S@Sltr-haris Type III physl fx upper end rad, unsp arm, sqla
S59.141A@Sltr-haris Type IV physl fx upper end rad, right arm, init
S59.141D@Sltr-haris Type IV physl fx upr end rad, r arm, 7thD
S59.141G@Sltr-haris Type IV physl fx upr end rad, r arm, 7thG
S59.141K@Sltr-haris Type IV physl fx upr end rad, r arm, 7thK
S59.141P@Sltr-haris Type IV physl fx upr end rad, r arm, 7thP
S59.141S@Sltr-haris Type IV physl fx upper end rad, right arm, sqla
S59.142A@Sltr-haris Type IV physl fx upper end radius, left arm, init
S59.142D@Sltr-haris Type IV physl fx upr end rad, l arm, 7thD
S59.142G@Sltr-haris Type IV physl fx upr end rad, l arm, 7thG
S59.142K@Sltr-haris Type IV physl fx upr end rad, l arm, 7thK
S59.142P@Sltr-haris Type IV physl fx upr end rad, l arm, 7thP
S59.142S@Sltr-haris Type IV physl fx upper end radius, left arm, sqla
S59.149A@Sltr-haris Type IV physl fx upper end radius, unsp arm, init
S59.149D@Sltr-haris Type IV physl fx upr end rad, unsp arm, 7thD
S59.149G@Sltr-haris Type IV physl fx upr end rad, unsp arm, 7thG
S59.149K@Sltr-haris Type IV physl fx upr end rad, unsp arm, 7thK
S59.149P@Sltr-haris Type IV physl fx upr end rad, unsp arm, 7thP
S59.149S@Sltr-haris Type IV physl fx upper end radius, unsp arm, sqla
S59.191A@Oth physeal fracture of upper end of radius, right arm, init
S59.191D@Oth physl fx upper end rad, r arm, subs for fx w routn heal
S59.191G@Oth physl fx upper end rad, r arm, subs for fx w delay heal
S59.191K@Oth physl fx upper end rad, r arm, subs for fx w nonunion
S59.191P@Oth physl fx upper end rad, r arm, subs for fx w malunion
S59.191S@Oth physeal fracture of upper end radius, right arm, sequela
S59.192A@Oth physeal fracture of upper end of radius, left arm, init
S59.192D@Oth physl fx upr end rad, left arm, subs for fx w routn heal
S59.192G@Oth physl fx upr end rad, left arm, subs for fx w delay heal
S59.192K@Oth physl fx upper end rad, left arm, subs for fx w nonunion
S59.192P@Oth physl fx upper end rad, left arm, subs for fx w malunion
S59.192S@Oth physeal fracture of upper end radius, left arm, sequela
S59.199A@Oth physeal fracture of upper end of radius, unsp arm, init
S59.199D@Oth physl fx upr end rad, unsp arm, subs for fx w routn heal
S59.199G@Oth physl fx upr end rad, unsp arm, subs for fx w delay heal
S59.199K@Oth physl fx upper end rad, unsp arm, subs for fx w nonunion
S59.199P@Oth physl fx upper end rad, unsp arm, subs for fx w malunion
S59.199S@Oth physeal fracture of upper end radius, unsp arm, sequela
S59.201A@Unsp physeal fracture of lower end radius, right arm, init
S59.201D@Unsp physl fx low end rad, r arm, subs for fx w routn heal
S59.201G@Unsp physl fx low end rad, r arm, subs for fx w delay heal
S59.201K@Unsp physl fx low end rad, right arm, subs for fx w nonunion
S59.201P@Unsp physl fx low end rad, right arm, subs for fx w malunion
S59.201S@Unsp physeal fx lower end radius, right arm, sequela
S59.202A@Unsp physeal fracture of lower end of radius, left arm, init
S59.202D@Unsp physl fx low end rad, l arm, subs for fx w routn heal
S59.202G@Unsp physl fx low end rad, l arm, subs for fx w delay heal
S59.202K@Unsp physl fx low end rad, left arm, subs for fx w nonunion
S59.202P@Unsp physl fx low end rad, left arm, subs for fx w malunion
S59.202S@Unsp physeal fracture of lower end radius, left arm, sequela
S59.209A@Unsp physeal fracture of lower end of radius, unsp arm, init
S59.209D@Unsp physl fx low end rad, unsp arm, 7thD
S59.209G@Unsp physl fx low end rad, unsp arm, 7thG
S59.209K@Unsp physl fx low end rad, unsp arm, subs for fx w nonunion
S59.209P@Unsp physl fx low end rad, unsp arm, subs for fx w malunion
S59.209S@Unsp physeal fracture of lower end radius, unsp arm, sequela
S59.211A@Sltr-haris Type I physl fx lower end radius, right arm, init
S59.211D@Sltr-haris Type I physl fx low end rad, r arm, 7thD
S59.211G@Sltr-haris Type I physl fx low end rad, r arm, 7thG
S59.211K@Sltr-haris Type I physl fx low end rad, r arm, 7thK
S59.211P@Sltr-haris Type I physl fx low end rad, r arm, 7thP
S59.211S@Sltr-haris Type I physl fx lower end radius, right arm, sqla
S59.212A@Sltr-haris Type I physl fx lower end radius, left arm, init
S59.212D@Sltr-haris Type I physl fx low end rad, l arm, 7thD
S59.212G@Sltr-haris Type I physl fx low end rad, l arm, 7thG
S59.212K@Sltr-haris Type I physl fx low end rad, l arm, 7thK
S59.212P@Sltr-haris Type I physl fx low end rad, l arm, 7thP
S59.212S@Sltr-haris Type I physl fx lower end radius, left arm, sqla
S59.219A@Sltr-haris Type I physl fx lower end radius, unsp arm, init
S59.219D@Sltr-haris Type I physl fx low end rad, unsp arm, 7thD
S59.219G@Sltr-haris Type I physl fx low end rad, unsp arm, 7thG
S59.219K@Sltr-haris Type I physl fx low end rad, unsp arm, 7thK
S59.219P@Sltr-haris Type I physl fx low end rad, unsp arm, 7thP
S59.219S@Sltr-haris Type I physl fx lower end radius, unsp arm, sqla
S59.221A@Sltr-haris Type II physl fx lower end rad, right arm, init
S59.221D@Sltr-haris Type II physl fx low end rad, r arm, 7thD
S59.221G@Sltr-haris Type II physl fx low end rad, r arm, 7thG
