S90.00XA@Contusion of unspecified ankle, initial encounter
S90.00XD@Contusion of unspecified ankle, subsequent encounter
S90.00XS@Contusion of unspecified ankle, sequela
S90.01XA@Contusion of right ankle, initial encounter
S90.01XD@Contusion of right ankle, subsequent encounter
S90.01XS@Contusion of right ankle, sequela
S90.02XA@Contusion of left ankle, initial encounter
S90.02XD@Contusion of left ankle, subsequent encounter
S90.02XS@Contusion of left ankle, sequela
S90.111A@Contusion of right great toe w/o damage to nail, init encntr
S90.111D@Contusion of right great toe w/o damage to nail, subs encntr
S90.111S@Contusion of right great toe without damage to nail, sequela
S90.112A@Contusion of left great toe w/o damage to nail, init encntr
S90.112D@Contusion of left great toe w/o damage to nail, subs encntr
S90.112S@Contusion of left great toe without damage to nail, sequela
S90.119A@Contusion of unsp great toe w/o damage to nail, init encntr
S90.119D@Contusion of unsp great toe w/o damage to nail, subs encntr
S90.119S@Contusion of unsp great toe without damage to nail, sequela
S90.121A@Contusion of right lesser toe(s) w/o damage to nail, init
S90.121D@Contusion of right lesser toe(s) w/o damage to nail, subs
S90.121S@Contusion of right lesser toe(s) w/o damage to nail, sequela
S90.122A@Contusion of left lesser toe(s) w/o damage to nail, init
S90.122D@Contusion of left lesser toe(s) w/o damage to nail, subs
S90.122S@Contusion of left lesser toe(s) w/o damage to nail, sequela
S90.129A@Contusion of unsp lesser toe(s) w/o damage to nail, init
S90.129D@Contusion of unsp lesser toe(s) w/o damage to nail, subs
S90.129S@Contusion of unsp lesser toe(s) w/o damage to nail, sequela
S90.211A@Contusion of right great toe w damage to nail, init encntr
S90.211D@Contusion of right great toe w damage to nail, subs encntr
S90.211S@Contusion of right great toe with damage to nail, sequela
S90.212A@Contusion of left great toe with damage to nail, init encntr
S90.212D@Contusion of left great toe with damage to nail, subs encntr
S90.212S@Contusion of left great toe with damage to nail, sequela
S90.219A@Contusion of unsp great toe with damage to nail, init encntr
S90.219D@Contusion of unsp great toe with damage to nail, subs encntr
S90.219S@Contusion of unsp great toe with damage to nail, sequela
S90.221A@Contusion of right lesser toe(s) w damage to nail, init
S90.221D@Contusion of right lesser toe(s) w damage to nail, subs
S90.221S@Contusion of right lesser toe(s) w damage to nail, sequela
S90.222A@Contusion of left lesser toe(s) w damage to nail, init
S90.222D@Contusion of left lesser toe(s) w damage to nail, subs
S90.222S@Contusion of left lesser toe(s) with damage to nail, sequela
S90.229A@Contusion of unsp lesser toe(s) w damage to nail, init
S90.229D@Contusion of unsp lesser toe(s) w damage to nail, subs
S90.229S@Contusion of unsp lesser toe(s) with damage to nail, sequela
S90.30XA@Contusion of unspecified foot, initial encounter
S90.30XD@Contusion of unspecified foot, subsequent encounter
S90.30XS@Contusion of unspecified foot, sequela
S90.31XA@Contusion of right foot, initial encounter
S90.31XD@Contusion of right foot, subsequent encounter
S90.31XS@Contusion of right foot, sequela
S90.32XA@Contusion of left foot, initial encounter
S90.32XD@Contusion of left foot, subsequent encounter
S90.32XS@Contusion of left foot, sequela
S96.129A@Lacerat msl/tnd lng extn msl toe at ank/ft lev,unsp ft, init
S96.129D@Lacerat msl/tnd lng extn msl toe at ank/ft lev,unsp ft, subs
S96.129S@Lacerat msl/tnd lng extn msl toe at ank/ft lev,unsp ft, sqla
S96.191A@Inj msl/tnd lng extn msl toe at ank/ft level, r foot, init
S96.191D@Inj msl/tnd lng extn msl toe at ank/ft level, r foot, subs
S96.191S@Inj msl/tnd lng extn msl toe at ank/ft level, r foot, sqla
S96.192A@Inj msl/tnd lng extn msl toe at ank/ft level, l foot, init
S96.192D@Inj msl/tnd lng extn msl toe at ank/ft level, l foot, subs
S96.192S@Inj msl/tnd lng extn msl toe at ank/ft level, l foot, sqla
S96.199A@Inj msl/tnd lng extn msl toe at ank/ft lev, unsp foot, init
S96.199D@Inj msl/tnd lng extn msl toe at ank/ft lev, unsp foot, subs
S96.199S@Inj msl/tnd lng extn msl toe at ank/ft lev, unsp foot, sqla
S96.201A@Unsp inj intrinsic msl/tnd at ank/ft level, r foot, init
S96.201D@Unsp inj intrinsic msl/tnd at ank/ft level, r foot, subs
S96.201S@Unsp inj intrinsic msl/tnd at ank/ft level, r foot, sequela
S96.202A@Unsp inj intrinsic msl/tnd at ank/ft level, left foot, init
S96.202D@Unsp inj intrinsic msl/tnd at ank/ft level, left foot, subs
S96.202S@Unsp inj intrns msl/tnd at ank/ft level, left foot, sequela
S96.209A@Unsp inj intrinsic msl/tnd at ank/ft level, unsp foot, init
S96.209D@Unsp inj intrinsic msl/tnd at ank/ft level, unsp foot, subs
S96.209S@Unsp inj intrns msl/tnd at ank/ft level, unsp foot, sequela
S96.211A@Strain of intrinsic msl/tnd at ank/ft level, r foot, init
S96.211D@Strain of intrinsic msl/tnd at ank/ft level, r foot, subs
S96.211S@Strain of intrinsic msl/tnd at ank/ft level, r foot, sequela
S96.212A@Strain of intrinsic msl/tnd at ank/ft level, left foot, init
S96.212D@Strain of intrinsic msl/tnd at ank/ft level, left foot, subs
S96.212S@Strain of intrns msl/tnd at ank/ft level, left foot, sequela
S96.219A@Strain of intrinsic msl/tnd at ank/ft level, unsp foot, init
S96.219D@Strain of intrinsic msl/tnd at ank/ft level, unsp foot, subs
S96.219S@Strain of intrns msl/tnd at ank/ft level, unsp foot, sequela
S96.221A@Lacerat intrinsic msl/tnd at ank/ft level, right foot, init
S96.221D@Lacerat intrinsic msl/tnd at ank/ft level, right foot, subs
S96.221S@Lacerat intrinsic msl/tnd at ank/ft level, r foot, sequela
S96.222A@Lacerat intrinsic msl/tnd at ank/ft level, left foot, init
S96.222D@Lacerat intrinsic msl/tnd at ank/ft level, left foot, subs
S96.222S@Lacerat intrns msl/tnd at ank/ft level, left foot, sequela
S96.229A@Lacerat intrinsic msl/tnd at ank/ft level, unsp foot, init
S96.229D@Lacerat intrinsic msl/tnd at ank/ft level, unsp foot, subs
S96.229S@Lacerat intrns msl/tnd at ank/ft level, unsp foot, sequela
S96.291A@Inj intrinsic msl/tnd at ank/ft level, right foot, init
S96.291D@Inj intrinsic msl/tnd at ank/ft level, right foot, subs
S96.291S@Inj intrinsic msl/tnd at ank/ft level, right foot, sequela
S96.292A@Inj intrinsic msl/tnd at ank/ft level, left foot, init
S96.292D@Inj intrinsic msl/tnd at ank/ft level, left foot, subs
S96.292S@Inj intrinsic msl/tnd at ank/ft level, left foot, sequela
S96.299A@Inj intrinsic msl/tnd at ank/ft level, unsp foot, init
S96.299D@Inj intrinsic msl/tnd at ank/ft level, unsp foot, subs
S96.299S@Inj intrinsic msl/tnd at ank/ft level, unsp foot, sequela
S96.801A@Unsp inj muscles and tendons at ank/ft level, r foot, init
S96.801D@Unsp inj muscles and tendons at ank/ft level, r foot, subs
S96.801S@Unsp inj musc and tendons at ank/ft level, r foot, sequela
S96.802A@Unsp inj muscles and tendons at ank/ft level, l foot, init
S96.802D@Unsp inj muscles and tendons at ank/ft level, l foot, subs
S96.802S@Unsp inj musc and tendons at ank/ft level, l foot, sequela
S96.809A@Unsp inj musc and tendons at ank/ft level, unsp foot, init
S96.809D@Unsp inj musc and tendons at ank/ft level, unsp foot, subs
S96.809S@Unsp inj musc and tendons at ank/ft level, unsp foot, sqla
S96.811A@Strain of muscles and tendons at ank/ft level, r foot, init
S96.811D@Strain of muscles and tendons at ank/ft level, r foot, subs
S96.811S@Strain muscles and tendons at ank/ft level, r foot, sequela
S96.812A@Strain of muscles and tendons at ank/ft level, l foot, init
S96.812D@Strain of muscles and tendons at ank/ft level, l foot, subs
S96.812S@Strain muscles and tendons at ank/ft level, l foot, sequela
S96.819A@Strain muscles and tendons at ank/ft level, unsp foot, init
S96.819D@Strain muscles and tendons at ank/ft level, unsp foot, subs
S96.819S@Strain musc and tendons at ank/ft level, unsp foot, sequela
S96.821A@Lacerat muscles and tendons at ank/ft level, r foot, init
S96.821D@Lacerat muscles and tendons at ank/ft level, r foot, subs
S96.821S@Lacerat muscles and tendons at ank/ft level, r foot, sequela
S96.822A@Lacerat muscles and tendons at ank/ft level, left foot, init
S96.822D@Lacerat muscles and tendons at ank/ft level, left foot, subs
S96.822S@Lacerat muscles and tendons at ank/ft level, l foot, sequela
S96.829A@Lacerat muscles and tendons at ank/ft level, unsp foot, init
S96.829D@Lacerat muscles and tendons at ank/ft level, unsp foot, subs
S96.829S@Lacerat musc and tendons at ank/ft level, unsp foot, sequela
S96.891A@Inj oth muscles and tendons at ank/ft level, r foot, init
S96.891D@Inj oth muscles and tendons at ank/ft level, r foot, subs
S96.891S@Inj oth muscles and tendons at ank/ft level, r foot, sequela
S96.892A@Inj oth muscles and tendons at ank/ft level, left foot, init
S96.892D@Inj oth muscles and tendons at ank/ft level, left foot, subs
S96.892S@Inj oth muscles and tendons at ank/ft level, l foot, sequela
S96.899A@Inj oth muscles and tendons at ank/ft level, unsp foot, init
S96.899D@Inj oth muscles and tendons at ank/ft level, unsp foot, subs
S96.899S@Inj oth musc and tendons at ank/ft level, unsp foot, sequela
S96.901A@Unsp injury of unsp msl/tnd at ank/ft level, r foot, init
S96.901D@Unsp injury of unsp msl/tnd at ank/ft level, r foot, subs
S96.901S@Unsp injury of unsp msl/tnd at ank/ft level, r foot, sequela
S96.902A@Unsp injury of unsp msl/tnd at ank/ft level, left foot, init
S96.902D@Unsp injury of unsp msl/tnd at ank/ft level, left foot, subs
S96.902S@Unsp inj unsp msl/tnd at ank/ft level, left foot, sequela
S96.909A@Unsp injury of unsp msl/tnd at ank/ft level, unsp foot, init
S96.909D@Unsp injury of unsp msl/tnd at ank/ft level, unsp foot, subs
S96.909S@Unsp inj unsp msl/tnd at ank/ft level, unsp foot, sequela
S96.911A@Strain of unsp msl/tnd at ank/ft level, right foot, init
S96.911D@Strain of unsp msl/tnd at ank/ft level, right foot, subs
S96.911S@Strain of unsp msl/tnd at ank/ft level, right foot, sequela
S96.912A@Strain of unsp msl/tnd at ank/ft level, left foot, init
S96.912D@Strain of unsp msl/tnd at ank/ft level, left foot, subs
S96.912S@Strain of unsp msl/tnd at ank/ft level, left foot, sequela
S96.919A@Strain of unsp msl/tnd at ank/ft level, unsp foot, init
S96.919D@Strain of unsp msl/tnd at ank/ft level, unsp foot, subs
S96.919S@Strain of unsp msl/tnd at ank/ft level, unsp foot, sequela
S96.921A@Laceration of unsp msl/tnd at ank/ft level, right foot, init
S96.921D@Laceration of unsp msl/tnd at ank/ft level, right foot, subs
S96.921S@Lacerat unsp msl/tnd at ank/ft level, right foot, sequela
S96.922A@Laceration of unsp msl/tnd at ank/ft level, left foot, init
S96.922D@Laceration of unsp msl/tnd at ank/ft level, left foot, subs
S96.922S@Lacerat unsp msl/tnd at ank/ft level, left foot, sequela
S96.929A@Laceration of unsp msl/tnd at ank/ft level, unsp foot, init
S96.929D@Laceration of unsp msl/tnd at ank/ft level, unsp foot, subs
S96.929S@Lacerat unsp msl/tnd at ank/ft level, unsp foot, sequela
S96.991A@Inj unsp msl/tnd at ankle and foot level, right foot, init
S96.991D@Inj unsp msl/tnd at ankle and foot level, right foot, subs
S96.991S@Inj unsp msl/tnd at ank/ft level, right foot, sequela
S96.992A@Inj unsp msl/tnd at ankle and foot level, left foot, init
S96.992D@Inj unsp msl/tnd at ankle and foot level, left foot, subs
S96.992S@Inj unsp msl/tnd at ankle and foot level, left foot, sequela
S96.999A@Inj unsp msl/tnd at ankle and foot level, unsp foot, init
S96.999D@Inj unsp msl/tnd at ankle and foot level, unsp foot, subs
S96.999S@Inj unsp msl/tnd at ankle and foot level, unsp foot, sequela
S97.00XA@Crushing injury of unspecified ankle, initial encounter
S97.00XD@Crushing injury of unspecified ankle, subsequent encounter
S97.00XS@Crushing injury of unspecified ankle, sequela
S97.01XA@Crushing injury of right ankle, initial encounter
S97.01XD@Crushing injury of right ankle, subsequent encounter
S97.01XS@Crushing injury of right ankle, sequela
S97.02XA@Crushing injury of left ankle, initial encounter
S97.02XD@Crushing injury of left ankle, subsequent encounter
S97.02XS@Crushing injury of left ankle, sequela
S97.101A@Crushing injury of unspecified right toe(s), init encntr
S97.101D@Crushing injury of unspecified right toe(s), subs encntr
S97.101S@Crushing injury of unspecified right toe(s), sequela
S97.102A@Crushing injury of unspecified left toe(s), init encntr
S97.102D@Crushing injury of unspecified left toe(s), subs encntr
S97.102S@Crushing injury of unspecified left toe(s), sequela
S97.109A@Crushing injury of unspecified toe(s), initial encounter
S97.109D@Crushing injury of unspecified toe(s), subsequent encounter
S97.109S@Crushing injury of unspecified toe(s), sequela
S97.111A@Crushing injury of right great toe, initial encounter
S97.111D@Crushing injury of right great toe, subsequent encounter
S97.111S@Crushing injury of right great toe, sequela
S97.112A@Crushing injury of left great toe, initial encounter
S97.112D@Crushing injury of left great toe, subsequent encounter
S97.112S@Crushing injury of left great toe, sequela
S97.119A@Crushing injury of unspecified great toe, initial encounter
S97.119D@Crushing injury of unspecified great toe, subs encntr
S97.119S@Crushing injury of unspecified great toe, sequela
S97.121A@Crushing injury of right lesser toe(s), initial encounter
S97.121D@Crushing injury of right lesser toe(s), subsequent encounter
S97.121S@Crushing injury of right lesser toe(s), sequela
S97.122A@Crushing injury of left lesser toe(s), initial encounter
S97.122D@Crushing injury of left lesser toe(s), subsequent encounter
S97.122S@Crushing injury of left lesser toe(s), sequela
S97.129A@Crushing injury of unspecified lesser toe(s), init encntr
S97.129D@Crushing injury of unspecified lesser toe(s), subs encntr
S97.129S@Crushing injury of unspecified lesser toe(s), sequela
S97.80XA@Crushing injury of unspecified foot, initial encounter
S97.80XD@Crushing injury of unspecified foot, subsequent encounter
S97.80XS@Crushing injury of unspecified foot, sequela
S97.81XA@Crushing injury of right foot, initial encounter
S97.81XD@Crushing injury of right foot, subsequent encounter
S97.81XS@Crushing injury of right foot, sequela
S97.82XA@Crushing injury of left foot, initial encounter
S97.82XD@Crushing injury of left foot, subsequent encounter
S97.82XS@Crushing injury of left foot, sequela
S98.011A@Complete traumatic amp of right foot at ankle level, init
S98.011D@Complete traumatic amp of right foot at ankle level, subs
S98.011S@Complete traumatic amp of right foot at ankle level, sequela
S98.012A@Complete traumatic amp of left foot at ankle level, init
S98.012D@Complete traumatic amp of left foot at ankle level, subs
S98.012S@Complete traumatic amp of left foot at ankle level, sequela
S98.019A@Complete traumatic amp of unsp foot at ankle level, init
S98.019D@Complete traumatic amp of unsp foot at ankle level, subs
S98.019S@Complete traumatic amp of unsp foot at ankle level, sequela
S98.021A@Partial traumatic amp of right foot at ankle level, init
S98.021D@Partial traumatic amp of right foot at ankle level, subs
S98.021S@Partial traumatic amp of right foot at ankle level, sequela
S98.022A@Partial traumatic amp of left foot at ankle level, init
S98.022D@Partial traumatic amp of left foot at ankle level, subs
S98.022S@Partial traumatic amp of left foot at ankle level, sequela
S98.029A@Partial traumatic amp of unsp foot at ankle level, init
S98.029D@Partial traumatic amp of unsp foot at ankle level, subs
S98.029S@Partial traumatic amp of unsp foot at ankle level, sequela
S98.111A@Complete traumatic amputation of right great toe, init
S98.111D@Complete traumatic amputation of right great toe, subs
S98.111S@Complete traumatic amputation of right great toe, sequela
S98.112A@Complete traumatic amputation of left great toe, init encntr
S98.112D@Complete traumatic amputation of left great toe, subs encntr
S98.112S@Complete traumatic amputation of left great toe, sequela
S98.119A@Complete traumatic amputation of unsp great toe, init encntr
S98.119D@Complete traumatic amputation of unsp great toe, subs encntr
S98.119S@Complete traumatic amputation of unsp great toe, sequela
S98.121A@Partial traumatic amputation of right great toe, init encntr
S98.121D@Partial traumatic amputation of right great toe, subs encntr
S98.121S@Partial traumatic amputation of right great toe, sequela
S98.122A@Partial traumatic amputation of left great toe, init encntr
S98.122D@Partial traumatic amputation of left great toe, subs encntr
S98.122S@Partial traumatic amputation of left great toe, sequela
S98.129A@Partial traumatic amputation of unsp great toe, init encntr
S98.129D@Partial traumatic amputation of unsp great toe, subs encntr
S98.129S@Partial traumatic amputation of unsp great toe, sequela
S98.131A@Complete traumatic amputation of one right lesser toe, init
S98.131D@Complete traumatic amputation of one right lesser toe, subs
S98.131S@Complete traumatic amp of one right lesser toe, sequela
S98.132A@Complete traumatic amputation of one left lesser toe, init
S98.132D@Complete traumatic amputation of one left lesser toe, subs
S98.132S@Complete traumatic amp of one left lesser toe, sequela
S98.139A@Complete traumatic amputation of one unsp lesser toe, init
S98.139D@Complete traumatic amputation of one unsp lesser toe, subs
S98.139S@Complete traumatic amp of one unsp lesser toe, sequela
S98.141A@Partial traumatic amputation of one right lesser toe, init
S98.141D@Partial traumatic amputation of one right lesser toe, subs
S98.141S@Partial traumatic amp of one right lesser toe, sequela
S98.142A@Partial traumatic amputation of one left lesser toe, init
S98.142D@Partial traumatic amputation of one left lesser toe, subs
S98.142S@Partial traumatic amputation of one left lesser toe, sequela
S98.149A@Partial traumatic amputation of one unsp lesser toe, init
S98.149D@Partial traumatic amputation of one unsp lesser toe, subs
S98.149S@Partial traumatic amputation of one unsp lesser toe, sequela
S98.211A@Complete traum amp of two or more right lesser toes, init
S98.211D@Complete traum amp of two or more right lesser toes, subs
S98.211S@Complete traum amp of two or more right lesser toes, sequela
S98.212A@Complete traumatic amp of two or more left lesser toes, init
S98.212D@Complete traumatic amp of two or more left lesser toes, subs
S98.212S@Complete traum amp of two or more left lesser toes, sequela
S98.219A@Complete traumatic amp of two or more unsp lesser toes, init
S98.219D@Complete traumatic amp of two or more unsp lesser toes, subs
S98.219S@Complete traum amp of two or more unsp lesser toes, sequela
S98.221A@Partial traumatic amp of two or more right lesser toes, init
S98.221D@Partial traumatic amp of two or more right lesser toes, subs
S98.221S@Partial traum amp of two or more right lesser toes, sequela
S98.222A@Partial traumatic amp of two or more left lesser toes, init
S98.222D@Partial traumatic amp of two or more left lesser toes, subs
S98.222S@Partial traum amp of two or more left lesser toes, sequela
S98.229A@Partial traumatic amp of two or more unsp lesser toes, init
S98.229D@Partial traumatic amp of two or more unsp lesser toes, subs
S98.229S@Partial traum amp of two or more unsp lesser toes, sequela
S98.311A@Complete traumatic amputation of right midfoot, init encntr
S98.311D@Complete traumatic amputation of right midfoot, subs encntr
S98.311S@Complete traumatic amputation of right midfoot, sequela
S98.312A@Complete traumatic amputation of left midfoot, init encntr
S98.312D@Complete traumatic amputation of left midfoot, subs encntr
S98.312S@Complete traumatic amputation of left midfoot, sequela
S98.319A@Complete traumatic amputation of unsp midfoot, init encntr
S98.319D@Complete traumatic amputation of unsp midfoot, subs encntr
S98.319S@Complete traumatic amputation of unsp midfoot, sequela
S98.321A@Partial traumatic amputation of right midfoot, init encntr
S98.321D@Partial traumatic amputation of right midfoot, subs encntr
S98.321S@Partial traumatic amputation of right midfoot, sequela
S98.322A@Partial traumatic amputation of left midfoot, init encntr
S98.322D@Partial traumatic amputation of left midfoot, subs encntr
S98.322S@Partial traumatic amputation of left midfoot, sequela
S98.329A@Partial traumatic amputation of unsp midfoot, init encntr
S98.329D@Partial traumatic amputation of unsp midfoot, subs encntr
S98.329S@Partial traumatic amputation of unspecified midfoot, sequela
S98.911A@Complete traumatic amp of right foot, level unsp, init
S98.911D@Complete traumatic amp of right foot, level unsp, subs
S98.911S@Complete traumatic amp of right foot, level unsp, sequela
S98.912A@Complete traumatic amputation of left foot, level unsp, init
S98.912D@Complete traumatic amputation of left foot, level unsp, subs
S98.912S@Complete traumatic amp of left foot, level unsp, sequela
S98.919A@Complete traumatic amputation of unsp foot, level unsp, init
S98.919D@Complete traumatic amputation of unsp foot, level unsp, subs
S98.919S@Complete traumatic amp of unsp foot, level unsp, sequela
S98.921A@Partial traumatic amputation of right foot, level unsp, init
S98.921D@Partial traumatic amputation of right foot, level unsp, subs
S98.921S@Partial traumatic amp of right foot, level unsp, sequela
S98.922A@Partial traumatic amputation of left foot, level unsp, init
S98.922D@Partial traumatic amputation of left foot, level unsp, subs
S98.922S@Partial traumatic amp of left foot, level unsp, sequela
S98.929A@Partial traumatic amputation of unsp foot, level unsp, init
S98.929D@Partial traumatic amputation of unsp foot, level unsp, subs
S98.929S@Partial traumatic amp of unsp foot, level unsp, sequela
S99.811A@Other specified injuries of right ankle, initial encounter
S99.811D@Other specified injuries of right ankle, subs encntr
S99.811S@Other specified injuries of right ankle, sequela
S99.812A@Other specified injuries of left ankle, initial encounter
S99.812D@Other specified injuries of left ankle, subsequent encounter
S99.812S@Other specified injuries of left ankle, sequela
S99.819A@Other specified injuries of unspecified ankle, init encntr
S99.819D@Other specified injuries of unspecified ankle, subs encntr
S99.819S@Other specified injuries of unspecified ankle, sequela
S99.821A@Other specified injuries of right foot, initial encounter
S99.821D@Other specified injuries of right foot, subsequent encounter
S99.821S@Other specified injuries of right foot, sequela
S99.822A@Other specified injuries of left foot, initial encounter
S99.822D@Other specified injuries of left foot, subsequent encounter
S99.822S@Other specified injuries of left foot, sequela
S99.829A@Other specified injuries of unspecified foot, init encntr
S99.829D@Other specified injuries of unspecified foot, subs encntr
S99.829S@Other specified injuries of unspecified foot, sequela
