S00.00XA@Unspecified superficial injury of scalp, initial encounter
T84.091D@Mech compl of internal left hip prosthesis, subs encntr
T84.091S@Mech compl of internal left hip prosthesis, sequela
T84.092A@Mech compl of internal right knee prosthesis, init encntr
T84.092D@Mech compl of internal right knee prosthesis, subs encntr
T84.092S@Mech compl of internal right knee prosthesis, sequela
T84.093A@Mech compl of internal left knee prosthesis, init encntr
T84.093D@Mech compl of internal left knee prosthesis, subs encntr
T84.093S@Mech compl of internal left knee prosthesis, sequela
T84.098A@Mech compl of other internal joint prosthesis, init encntr
T84.098D@Mech compl of other internal joint prosthesis, subs encntr
T84.098S@Mech compl of other internal joint prosthesis, sequela
T84.099A@Mech compl of unsp internal joint prosthesis, init encntr
T84.099D@Mech compl of unsp internal joint prosthesis, subs encntr
T84.099S@Mech compl of unspecified internal joint prosthesis, sequela
T84.110A@Breakdown (mechanical) of int fix of right humerus, init
T84.110D@Breakdown (mechanical) of int fix of right humerus, subs
T84.110S@Breakdown (mechanical) of int fix of right humerus, sequela
T84.111A@Breakdown (mechanical) of int fix of left humerus, init
T84.111D@Breakdown (mechanical) of int fix of left humerus, subs
T84.111S@Breakdown (mechanical) of int fix of left humerus, sequela
T84.112A@Breakdown (mechanical) of int fix of bone of r forearm, init
T84.112D@Breakdown (mechanical) of int fix of bone of r forearm, subs
T84.112S@Breakdown of int fix of bone of r forearm, sequela
T84.113A@Breakdown of int fix of bone of left forearm, init
T84.113D@Breakdown of int fix of bone of left forearm, subs
T84.113S@Breakdown of int fix of bone of left forearm, sequela
T84.114A@Breakdown (mechanical) of int fix of right femur, init
T84.114D@Breakdown (mechanical) of int fix of right femur, subs
T84.114S@Breakdown (mechanical) of int fix of right femur, sequela
T84.115A@Breakdown (mechanical) of int fix of left femur, init
T84.115D@Breakdown (mechanical) of int fix of left femur, subs
T84.115S@Breakdown (mechanical) of int fix of left femur, sequela
T84.116A@Breakdown (mechanical) of int fix of bone of r low leg, init
T84.116D@Breakdown (mechanical) of int fix of bone of r low leg, subs
T84.116S@Breakdown of int fix of bone of r low leg, sequela
T84.117A@Breakdown (mechanical) of int fix of bone of l low leg, init
T84.117D@Breakdown (mechanical) of int fix of bone of l low leg, subs
T84.117S@Breakdown of int fix of bone of l low leg, sequela
T84.119A@Breakdown (mechanical) of int fix of unsp bone of limb, init
T84.119D@Breakdown (mechanical) of int fix of unsp bone of limb, subs
T84.119S@Breakdown of int fix of unsp bone of limb, sequela
T84.120A@Displacement of int fix of right humerus, init
T84.120D@Displacement of int fix of right humerus, subs
T84.120S@Displacement of int fix of right humerus, sequela
T84.121A@Displacement of int fix of left humerus, init
T84.121D@Displacement of int fix of left humerus, subs
T84.121S@Displacement of int fix of left humerus, sequela
T84.122A@Displacement of int fix of bone of right forearm, init
T84.122D@Displacement of int fix of bone of right forearm, subs
T84.122S@Displacement of int fix of bone of right forearm, sequela
T84.123A@Displacement of int fix of bone of left forearm, init
T84.123D@Displacement of int fix of bone of left forearm, subs
T84.123S@Displacement of int fix of bone of left forearm, sequela
T84.124A@Displacement of int fix of right femur, init
T84.124D@Displacement of int fix of right femur, subs
T84.124S@Displacement of int fix of right femur, sequela
T84.125A@Displacement of internal fixation device of left femur, init
T84.125D@Displacement of internal fixation device of left femur, subs
T84.125S@Displacement of int fix of left femur, sequela
T84.126A@Displacement of int fix of bone of right lower leg, init
T84.126D@Displacement of int fix of bone of right lower leg, subs
T84.126S@Displacement of int fix of bone of right lower leg, sequela
T84.127A@Displacement of int fix of bone of left lower leg, init
T84.127D@Displacement of int fix of bone of left lower leg, subs
T84.127S@Displacement of int fix of bone of left lower leg, sequela
T84.129A@Displacement of int fix of unsp bone of limb, init
T84.129D@Displacement of int fix of unsp bone of limb, subs
T84.129S@Displacement of int fix of unsp bone of limb, sequela
T84.190A@Mech compl of int fix of right humerus, init
T84.190D@Mech compl of int fix of right humerus, subs
T84.190S@Mech compl of int fix of right humerus, sequela
T84.191A@Mech compl of internal fixation device of left humerus, init
T84.191D@Mech compl of internal fixation device of left humerus, subs
T84.191S@Mech compl of int fix of left humerus, sequela
T84.192A@Mech compl of int fix of bone of right forearm, init
T84.192D@Mech compl of int fix of bone of right forearm, subs
T84.192S@Mech compl of int fix of bone of right forearm, sequela
T84.193A@Mech compl of int fix of bone of left forearm, init
T84.193D@Mech compl of int fix of bone of left forearm, subs
T84.193S@Mech compl of int fix of bone of left forearm, sequela
T84.194A@Mech compl of internal fixation device of right femur, init
T84.194D@Mech compl of internal fixation device of right femur, subs
T84.194S@Mech compl of int fix of right femur, sequela
T84.195A@Mech compl of internal fixation device of left femur, init
T84.195D@Mech compl of internal fixation device of left femur, subs
T84.195S@Mech compl of int fix of left femur, sequela
T84.196A@Mech compl of int fix of bone of right lower leg, init
T84.196D@Mech compl of int fix of bone of right lower leg, subs
T84.196S@Mech compl of int fix of bone of right lower leg, sequela
T84.197A@Mech compl of int fix of bone of left lower leg, init
T84.197D@Mech compl of int fix of bone of left lower leg, subs
T84.197S@Mech compl of int fix of bone of left lower leg, sequela
T84.199A@Mech compl of int fix of unsp bone of limb, init
T84.199D@Mech compl of int fix of unsp bone of limb, subs
T84.199S@Mech compl of int fix of unsp bone of limb, sequela
T84.210A@Breakdown of int fix of bones of hand and fingers, init
T84.210D@Breakdown of int fix of bones of hand and fingers, subs
T84.210S@Breakdown of int fix of bones of hand and fingers, sequela
T84.213A@Breakdown of int fix of bones of foot and toes, init
T84.213D@Breakdown of int fix of bones of foot and toes, subs
T84.213S@Breakdown of int fix of bones of foot and toes, sequela
T84.216A@Breakdown (mechanical) of int fix of vertebrae, init
T84.216D@Breakdown (mechanical) of int fix of vertebrae, subs
T84.216S@Breakdown (mechanical) of int fix of vertebrae, sequela
T84.218A@Breakdown (mechanical) of int fix of bones, init
T84.218D@Breakdown (mechanical) of int fix of bones, subs
T84.218S@Breakdown (mechanical) of int fix of bones, sequela
T84.220A@Displacement of int fix of bones of hand and fingers, init
T84.220D@Displacement of int fix of bones of hand and fingers, subs
T84.220S@Displacmnt of int fix of bones of hand and fingers, sequela
T84.223A@Displacement of int fix of bones of foot and toes, init
T84.223D@Displacement of int fix of bones of foot and toes, subs
T84.223S@Displacement of int fix of bones of foot and toes, sequela
T84.226A@Displacement of internal fixation device of vertebrae, init
T84.226D@Displacement of internal fixation device of vertebrae, subs
T84.226S@Displacement of int fix of vertebrae, sequela
T84.228A@Displacement of internal fixation device of oth bones, init
T84.228D@Displacement of internal fixation device of oth bones, subs
T84.228S@Displacement of internal fixation device of bones, sequela
T84.290A@Mech compl of int fix of bones of hand and fingers, init
T84.290D@Mech compl of int fix of bones of hand and fingers, subs
T84.290S@Mech compl of int fix of bones of hand and fingers, sequela
T84.293A@Mech compl of int fix of bones of foot and toes, init
T84.293D@Mech compl of int fix of bones of foot and toes, subs
T84.293S@Mech compl of int fix of bones of foot and toes, sequela
T84.296A@Mech compl of internal fixation device of vertebrae, init
T84.296D@Mech compl of internal fixation device of vertebrae, subs
T84.296S@Mech compl of internal fixation device of vertebrae, sequela
T84.298A@Mech compl of internal fixation device of oth bones, init
T84.298D@Mech compl of internal fixation device of oth bones, subs
T84.298S@Mech compl of internal fixation device of oth bones, sequela
T84.310A@Breakdown (mechanical) of electronic bone stimulator, init
T84.310D@Breakdown (mechanical) of electronic bone stimulator, subs
T84.310S@Breakdown of electronic bone stimulator, sequela
T84.318A@Breakdown of bone devices, implants and grafts, init
T84.318D@Breakdown of bone devices, implants and grafts, subs
T84.318S@Breakdown of bone devices, implants and grafts, sequela
T84.320A@Displacement of electronic bone stimulator, init encntr
T84.320D@Displacement of electronic bone stimulator, subs encntr
T84.320S@Displacement of electronic bone stimulator, sequela
T84.328A@Displacement of oth bone devices, implants and grafts, init
T84.328D@Displacement of oth bone devices, implants and grafts, subs
T84.328S@Displacement of bone devices, implants and grafts, sequela
T84.390A@Mech compl of electronic bone stimulator, initial encounter
T84.390D@Mech compl of electronic bone stimulator, subs encntr
T84.390S@Mech compl of electronic bone stimulator, sequela
T84.398A@Mech compl of oth bone devices, implants and grafts, init
T84.398D@Mech compl of oth bone devices, implants and grafts, subs
T84.398S@Mech compl of oth bone devices, implants and grafts, sequela
T84.410A@Breakdown (mechanical) of muscle and tendon graft, init
T84.410D@Breakdown (mechanical) of muscle and tendon graft, subs
T84.410S@Breakdown (mechanical) of muscle and tendon graft, sequela
T84.418A@Brkdwn internal orth devices, implants and grafts, init
T84.418D@Brkdwn internal orth devices, implants and grafts, subs
T84.418S@Brkdwn internal orth devices, implants and grafts, sequela
T84.420A@Displacement of muscle and tendon graft, initial encounter
T84.420D@Displacement of muscle and tendon graft, subs encntr
T84.420S@Displacement of muscle and tendon graft, sequela
T84.428A@Displacmnt of internal orth devices, implnt and grafts, init
T84.428D@Displacmnt of internal orth devices, implnt and grafts, subs
T84.428S@Displacmnt of int orth devices, implnt and grafts, sequela
T84.490A@Mech compl of muscle and tendon graft, initial encounter
T84.490D@Mech compl of muscle and tendon graft, subsequent encounter
T84.490S@Mech compl of muscle and tendon graft, sequela
T84.498A@Mech compl of internal orth devices, implnt and grafts, init
T84.498D@Mech compl of internal orth devices, implnt and grafts, subs
T84.498S@Mech compl of int orth devices, implnt and grafts, sequela
T84.50XA@Infect/inflm reaction due to unsp int joint prosth, init
T84.50XD@Infect/inflm reaction due to unsp int joint prosth, subs
T84.50XS@Infect/inflm reaction due to unsp int joint prosth, sequela
T84.51XA@Infect/inflm reaction due to internal right hip prosth, init
T84.51XD@Infect/inflm reaction due to internal right hip prosth, subs
T84.51XS@Infect/inflm reaction due to internal r hip prosth, sequela
T84.52XA@Infect/inflm reaction due to internal left hip prosth, init
T84.52XD@Infect/inflm reaction due to internal left hip prosth, subs
T84.52XS@Infect/inflm reaction due to int left hip prosth, sequela
T84.53XA@Infect/inflm reaction due to internal r knee prosth, init
T84.53XD@Infect/inflm reaction due to internal r knee prosth, subs
T84.53XS@Infect/inflm reaction due to internal r knee prosth, sequela
T84.54XA@Infect/inflm reaction due to internal left knee prosth, init
T84.54XD@Infect/inflm reaction due to internal left knee prosth, subs
T84.54XS@Infect/inflm reaction due to internal l knee prosth, sequela
T84.59XA@Infect/inflm reaction due to oth internal joint prosth, init
T84.59XD@Infect/inflm reaction due to oth internal joint prosth, subs
T84.59XS@Infect/inflm reaction due to oth int joint prosth, sequela
T84.60XA@Infect/inflm reaction due to int fix of unsp site, init
T84.60XD@Infect/inflm reaction due to int fix of unsp site, subs
T84.60XS@Infect/inflm reaction due to int fix of unsp site, sequela
T84.610A@Infect/inflm reaction due to int fix of right humerus, init
T84.610D@Infect/inflm reaction due to int fix of right humerus, subs
T84.610S@Infect/inflm reaction due to int fix of r humerus, sequela
T84.611A@Infect/inflm reaction due to int fix of left humerus, init
T84.611D@Infect/inflm reaction due to int fix of left humerus, subs
T84.611S@Infect/inflm reaction due to int fix of l humerus, sequela
T84.612A@Infect/inflm reaction due to int fix of right radius, init
T84.612D@Infect/inflm reaction due to int fix of right radius, subs
T84.612S@Infect/inflm reaction due to int fix of r radius, sequela
T84.613A@Infect/inflm reaction due to int fix of left radius, init
T84.613D@Infect/inflm reaction due to int fix of left radius, subs
T84.613S@Infect/inflm reaction due to int fix of left radius, sequela
T84.614A@Infect/inflm reaction due to int fix of right ulna, init
T84.614D@Infect/inflm reaction due to int fix of right ulna, subs
T84.614S@Infect/inflm reaction due to int fix of right ulna, sequela
T84.615A@Infect/inflm reaction due to int fix of left ulna, init
T84.615D@Infect/inflm reaction due to int fix of left ulna, subs
T84.615S@Infect/inflm reaction due to int fix of left ulna, sequela
T84.619A@Infect/inflm react due to int fix of unsp bone of arm, init
T84.619D@Infect/inflm react due to int fix of unsp bone of arm, subs
T84.619S@Infect/inflm react due to int fix of unsp bone of arm, sqla
T84.620A@Infect/inflm reaction due to int fix of right femur, init
T84.620D@Infect/inflm reaction due to int fix of right femur, subs
T84.620S@Infect/inflm reaction due to int fix of right femur, sequela
T84.621A@Infect/inflm reaction due to int fix of left femur, init
T84.621D@Infect/inflm reaction due to int fix of left femur, subs
T84.621S@Infect/inflm reaction due to int fix of left femur, sequela
