V00.01XA@Ped on foot injured in collision w roller-skater, init
Y35.021S@Legal intervnt w inj by handgun, law enforc offl inj, sqla
Y35.022A@Legal intervnt w injury by handgun, bystand injured, init
Y35.022D@Legal intervnt w injury by handgun, bystand injured, subs
Y35.022S@Legal intervnt w injury by handgun, bystand injured, sequela
Y35.023A@Legal intervnt w injury by handgun, suspect injured, init
Y35.023D@Legal intervnt w injury by handgun, suspect injured, subs
Y35.023S@Legal intervnt w injury by handgun, suspect injured, sequela
Y35.031A@Lgl intervnt w inj by rifl pelet, law enforc offl inj, init
Y35.031D@Lgl intervnt w inj by rifl pelet, law enforc offl inj, subs
Y35.031S@Lgl intervnt w inj by rifl pelet, law enforc offl inj, sqla
Y35.032A@Legal intervnt w injury by rifl pelet, bystand injured, init
Y35.032D@Legal intervnt w injury by rifl pelet, bystand injured, subs
Y35.032S@Legal intervnt w injury by rifl pelet, bystand inj, sequela
Y35.033A@Legal intervnt w injury by rifl pelet, suspect injured, init
Y35.033D@Legal intervnt w injury by rifl pelet, suspect injured, subs
Y35.033S@Legal intervnt w injury by rifl pelet, suspect inj, sequela
Y35.041A@Lgl intervnt w inj by rubr bulet, law enforc offl inj, init
Y35.041D@Lgl intervnt w inj by rubr bulet, law enforc offl inj, subs
Y35.041S@Lgl intervnt w inj by rubr bulet, law enforc offl inj, sqla
Y35.042A@Legal intervnt w injury by rubr bulet, bystand injured, init
Y35.042D@Legal intervnt w injury by rubr bulet, bystand injured, subs
Y35.042S@Legal intervnt w injury by rubr bulet, bystand inj, sequela
Y35.043A@Legal intervnt w injury by rubr bulet, suspect injured, init
Y35.043D@Legal intervnt w injury by rubr bulet, suspect injured, subs
Y35.043S@Legal intervnt w injury by rubr bulet, suspect inj, sequela
Y35.091A@Legal intervnt w firearm disch, law enforc offl inj, init
Y35.091D@Legal intervnt w firearm disch, law enforc offl inj, subs
Y35.091S@Legal intervnt w firearm disch, law enforc offl inj, sequela
Y35.092A@Legal intervnt w firearm disch, bystand injured, init
Y35.092D@Legal intervnt w firearm disch, bystand injured, subs
Y35.092S@Legal intervnt w firearm disch, bystand injured, sequela
Y35.093A@Legal intervnt w firearm disch, suspect injured, init
Y35.093D@Legal intervnt w firearm disch, suspect injured, subs
Y35.093S@Legal intervnt w firearm disch, suspect injured, sequela
Y35.101A@Legal intervnt w unsp explosv, law enforc offl injured, init
Y35.101D@Legal intervnt w unsp explosv, law enforc offl injured, subs
Y35.101S@Legal intervnt w unsp explosv, law enforc offl inj, sequela
Y35.102A@Legal intervnt involving unsp explosv, bystand injured, init
Y35.102D@Legal intervnt involving unsp explosv, bystand injured, subs
Y35.102S@Legal intervnt w unsp explosv, bystand injured, sequela
Y35.103A@Legal intervnt involving unsp explosv, suspect injured, init
Y35.103D@Legal intervnt involving unsp explosv, suspect injured, subs
Y35.103S@Legal intervnt w unsp explosv, suspect injured, sequela
Y35.111A@Legal intervnt w inj by dynamite, law enforc offl inj, init
Y35.111D@Legal intervnt w inj by dynamite, law enforc offl inj, subs
Y35.111S@Legal intervnt w inj by dynamite, law enforc offl inj, sqla
Y35.112A@Legal intervnt w injury by dynamite, bystand injured, init
Y35.112D@Legal intervnt w injury by dynamite, bystand injured, subs
Y35.112S@Legal intervnt w injury by dynamite, bystand inj, sequela
Y35.113A@Legal intervnt w injury by dynamite, suspect injured, init
Y35.113D@Legal intervnt w injury by dynamite, suspect injured, subs
Y35.113S@Legal intervnt w injury by dynamite, suspect inj, sequela
Y35.121A@Lgl intervnt w inj by explosv shl, law enforc offl inj, init
Y35.121D@Lgl intervnt w inj by explosv shl, law enforc offl inj, subs
Y35.121S@Lgl intervnt w inj by explosv shl, law enforc offl inj, sqla
Y35.122A@Legal intervnt w injury by explosv shell, bystand inj, init
Y35.122D@Legal intervnt w injury by explosv shell, bystand inj, subs
Y35.122S@Legal intervnt w injury by explosv shell, bystand inj, sqla
Y35.123A@Legal intervnt w injury by explosv shell, suspect inj, init
Y35.123D@Legal intervnt w injury by explosv shell, suspect inj, subs
Y35.123S@Legal intervnt w injury by explosv shell, suspect inj, sqla
Y35.191A@Legal intervnt w oth explosv, law enforc offl injured, init
Y35.191D@Legal intervnt w oth explosv, law enforc offl injured, subs
Y35.191S@Legal intervnt w oth explosv, law enforc offl inj, sequela
Y35.192A@Legal intervnt involving oth explosv, bystand injured, init
Y35.192D@Legal intervnt involving oth explosv, bystand injured, subs
Y35.192S@Legal intervnt w oth explosv, bystand injured, sequela
Y35.193A@Legal intervnt involving oth explosv, suspect injured, init
Y35.193D@Legal intervnt involving oth explosv, suspect injured, subs
Y35.193S@Legal intervnt w oth explosv, suspect injured, sequela
Y35.201A@Legal intervnt w unsp gas, law enforc offl injured, init
Y35.201D@Legal intervnt w unsp gas, law enforc offl injured, subs
Y35.201S@Legal intervnt w unsp gas, law enforc offl injured, sequela
Y35.202A@Legal intervnt involving unsp gas, bystander injured, init
Y35.202D@Legal intervnt involving unsp gas, bystander injured, subs
Y35.202S@Legal intervnt involving unsp gas, bystand injured, sequela
Y35.203A@Legal intervention involving unsp gas, suspect injured, init
Y35.203D@Legal intervention involving unsp gas, suspect injured, subs
Y35.203S@Legal intervnt involving unsp gas, suspect injured, sequela
Y35.211A@Legal intervnt w inj by tear gas, law enforc offl inj, init
Y35.211D@Legal intervnt w inj by tear gas, law enforc offl inj, subs
Y35.211S@Legal intervnt w inj by tear gas, law enforc offl inj, sqla
Y35.212A@Legal intervnt w injury by tear gas, bystand injured, init
Y35.212D@Legal intervnt w injury by tear gas, bystand injured, subs
Y35.212S@Legal intervnt w injury by tear gas, bystand inj, sequela
Y35.213A@Legal intervnt w injury by tear gas, suspect injured, init
Y35.213D@Legal intervnt w injury by tear gas, suspect injured, subs
Y35.213S@Legal intervnt w injury by tear gas, suspect inj, sequela
Y35.291A@Legal intervnt w oth gas, law enforc offl injured, init
Y35.291D@Legal intervnt w oth gas, law enforc offl injured, subs
Y35.291S@Legal intervnt w oth gas, law enforc offl injured, sequela
Y35.292A@Legal intervnt involving oth gas, bystander injured, init
Y35.292D@Legal intervnt involving oth gas, bystander injured, subs
Y35.292S@Legal intervnt involving oth gas, bystander injured, sequela
Y35.293A@Legal intervention involving oth gas, suspect injured, init
Y35.293D@Legal intervention involving oth gas, suspect injured, subs
Y35.293S@Legal intervnt involving oth gas, suspect injured, sequela
Y35.301A@Legal intervnt w unsp blunt obj, law enforc offl inj, init
Y35.301D@Legal intervnt w unsp blunt obj, law enforc offl inj, subs
Y35.301S@Legal intervnt w unsp blunt obj, law enforc offl inj, sqla
Y35.302A@Legal intervnt w unsp blunt objects, bystand injured, init
Y35.302D@Legal intervnt w unsp blunt objects, bystand injured, subs
Y35.302S@Legal intervnt w unsp blunt objects, bystand inj, sequela
Y35.303A@Legal intervnt w unsp blunt objects, suspect injured, init
Y35.303D@Legal intervnt w unsp blunt objects, suspect injured, subs
Y35.303S@Legal intervnt w unsp blunt objects, suspect inj, sequela
Y35.311A@Legal intervnt w baton, law enforc offl injured, init
Y35.311D@Legal intervnt w baton, law enforc offl injured, subs
Y35.311S@Legal intervnt w baton, law enforc offl injured, sequela
Y35.312A@Legal intervention involving baton, bystander injured, init
Y35.312D@Legal intervention involving baton, bystander injured, subs
Y35.312S@Legal intervnt involving baton, bystander injured, sequela
Y35.313A@Legal intervention involving baton, suspect injured, init
Y35.313D@Legal intervention involving baton, suspect injured, subs
Y35.313S@Legal intervention involving baton, suspect injured, sequela
Y35.391A@Legal intervnt w oth blunt obj, law enforc offl inj, init
Y35.391D@Legal intervnt w oth blunt obj, law enforc offl inj, subs
Y35.391S@Legal intervnt w oth blunt obj, law enforc offl inj, sequela
Y35.392A@Legal intervnt w oth blunt objects, bystand injured, init
Y35.392D@Legal intervnt w oth blunt objects, bystand injured, subs
Y35.392S@Legal intervnt w oth blunt objects, bystand injured, sequela
Y35.393A@Legal intervnt w oth blunt objects, suspect injured, init
Y35.393D@Legal intervnt w oth blunt objects, suspect injured, subs
Y35.393S@Legal intervnt w oth blunt objects, suspect injured, sequela
Y35.401A@Legal intervnt w unsp sharp obj, law enforc offl inj, init
Y35.401D@Legal intervnt w unsp sharp obj, law enforc offl inj, subs
Y35.401S@Legal intervnt w unsp sharp obj, law enforc offl inj, sqla
Y35.402A@Legal intervnt w unsp sharp objects, bystand injured, init
Y35.402D@Legal intervnt w unsp sharp objects, bystand injured, subs
Y35.402S@Legal intervnt w unsp sharp objects, bystand inj, sequela
Y35.403A@Legal intervnt w unsp sharp objects, suspect injured, init
Y35.403D@Legal intervnt w unsp sharp objects, suspect injured, subs
Y35.403S@Legal intervnt w unsp sharp objects, suspect inj, sequela
Y35.411A@Legal intervnt w bayonet, law enforc offl injured, init
Y35.411D@Legal intervnt w bayonet, law enforc offl injured, subs
Y35.411S@Legal intervnt w bayonet, law enforc offl injured, sequela
Y35.412A@Legal intervnt involving bayonet, bystander injured, init
Y35.412D@Legal intervnt involving bayonet, bystander injured, subs
Y35.412S@Legal intervnt involving bayonet, bystander injured, sequela
Y35.413A@Legal intervention involving bayonet, suspect injured, init
Y35.413D@Legal intervention involving bayonet, suspect injured, subs
Y35.413S@Legal intervnt involving bayonet, suspect injured, sequela
Y35.491A@Legal intervnt w oth sharp obj, law enforc offl inj, init
Y35.491D@Legal intervnt w oth sharp obj, law enforc offl inj, subs
Y35.491S@Legal intervnt w oth sharp obj, law enforc offl inj, sequela
Y35.492A@Legal intervnt w oth sharp objects, bystand injured, init
Y35.492D@Legal intervnt w oth sharp objects, bystand injured, subs
Y35.492S@Legal intervnt w oth sharp objects, bystand injured, sequela
Y35.493A@Legal intervnt w oth sharp objects, suspect injured, init
Y35.493D@Legal intervnt w oth sharp objects, suspect injured, subs
Y35.493S@Legal intervnt w oth sharp objects, suspect injured, sequela
Y35.811A@Legal intervnt w manhandling, law enforc offl injured, init
Y35.811D@Legal intervnt w manhandling, law enforc offl injured, subs
Y35.811S@Legal intervnt w manhandling, law enforc offl inj, sequela
Y35.812A@Legal intervnt involving manhandling, bystand injured, init
Y35.812D@Legal intervnt involving manhandling, bystand injured, subs
Y35.812S@Legal intervnt w manhandling, bystand injured, sequela
Y35.813A@Legal intervnt involving manhandling, suspect injured, init
Y35.813D@Legal intervnt involving manhandling, suspect injured, subs
Y35.813S@Legal intervnt w manhandling, suspect injured, sequela
Y35.891A@Legal intervnt w oth means, law enforc offl injured, init
Y35.891D@Legal intervnt w oth means, law enforc offl injured, subs
Y35.891S@Legal intervnt w oth means, law enforc offl injured, sequela
Y35.892A@Legal intervnt involving oth means, bystander injured, init
Y35.892D@Legal intervnt involving oth means, bystander injured, subs
Y35.892S@Legal intervnt involving oth means, bystand injured, sequela
Y35.893A@Legal intervnt involving oth means, suspect injured, init
Y35.893D@Legal intervnt involving oth means, suspect injured, subs
Y35.893S@Legal intervnt involving oth means, suspect injured, sequela
Y35.91XA@Legal intervnt, means unsp, law enforc offl injured, init
Y35.91XD@Legal intervnt, means unsp, law enforc offl injured, subs
Y35.91XS@Legal intervnt, means unsp, law enforc offl injured, sequela
Y35.92XA@Legal intervention, means unsp, bystander injured, init
Y35.92XD@Legal intervention, means unsp, bystander injured, subs
Y35.92XS@Legal intervention, means unsp, bystander injured, sequela
Y35.93XA@Legal intervention, means unsp, suspect injured, init encntr
Y35.93XD@Legal intervention, means unsp, suspect injured, subs encntr
Y35.93XS@Legal intervention, means unsp, suspect injured, sequela
#
Y36.000A@War op involving explosion of unsp marine weapon, milt, init
Y36.000D@War op involving explosion of unsp marine weapon, milt, subs
Y36.000S@War op w explosn of unsp marine weapon, milt, sequela
Y36.001A@War op w explosn of unsp marine weapon, civilian, init
Y36.001D@War op w explosn of unsp marine weapon, civilian, subs
Y36.001S@War op w explosn of unsp marine weapon, civilian, sequela
Y36.010A@War operations involving explosion of depth-chg, milt, init
Y36.010D@War operations involving explosion of depth-chg, milt, subs
Y36.010S@War op involving explosion of depth-chg, milt, sequela
Y36.011A@War op involving explosion of depth-chg, civilian, init
Y36.011D@War op involving explosion of depth-chg, civilian, subs
Y36.011S@War op involving explosion of depth-chg, civilian, sequela
Y36.020A@War op involving explosion of marine mine, milt, init
Y36.020D@War op involving explosion of marine mine, milt, subs
Y36.020S@War op involving explosion of marine mine, milt, sequela
Y36.021A@War op involving explosion of marine mine, civilian, init
Y36.021D@War op involving explosion of marine mine, civilian, subs
Y36.021S@War op involving explosion of marine mine, civilian, sequela
Y36.030A@War op w explosn of sea-based artlry shell, milt, init
Y36.030D@War op w explosn of sea-based artlry shell, milt, subs
Y36.030S@War op w explosn of sea-based artlry shell, milt, sequela
Y36.031A@War op w explosn of sea-based artlry shell, civilian, init
Y36.031D@War op w explosn of sea-based artlry shell, civilian, subs
Y36.031S@War op w explosn of sea-based artlry shell, civ, sequela
Y36.040A@War operations involving explosion of torpedo, milt, init
Y36.040D@War operations involving explosion of torpedo, milt, subs
Y36.040S@War operations involving explosion of torpedo, milt, sequela
Y36.041A@War op involving explosion of torpedo, civilian, init
Y36.041D@War op involving explosion of torpedo, civilian, subs
Y36.041S@War op involving explosion of torpedo, civilian, sequela
Y36.050A@War op w acc deton onboard marine weapons, milt, init
Y36.050D@War op w acc deton onboard marine weapons, milt, subs
Y36.050S@War op w acc deton onboard marine weapons, milt, sequela
Y36.051A@War op w acc deton onboard marine weapons, civilian, init
Y36.051D@War op w acc deton onboard marine weapons, civilian, subs
Y36.051S@War op w acc deton onboard marine weapons, civilian, sequela
Y36.090A@War op involving explosion of marine weapons, milt, init
Y36.090D@War op involving explosion of marine weapons, milt, subs
Y36.090S@War op involving explosion of marine weapons, milt, sequela
